"","logFC","logCPM","PValue","FDR"
"ER3413_3872_ECOLI",-0.409246598410764,17.764664390719,0.00571088428668837,0.0382165221368908
"ER3413_4094_ECOLI",-0.406762000089979,17.6691518546951,0.00601018891740252,0.0382165221368908
"ER3413_208_ECOLI",-0.406422960190833,17.6248615337935,0.00610843104905255,0.0382165221368908
"BSU01130_BSUBT",0.386061585931036,9.96041956857703,0.0062679082898845,0.0382165221368908
"ER3413_4138_ECOLI",-0.404130707051486,17.6745272560889,0.00634449346746124,0.0382165221368908
"ER3413_2671_ECOLI",-0.404036843828582,17.674541491749,0.00635680921443553,0.0382165221368908
"ER3413_3361_ECOLI",-0.397594835495158,17.691148804817,0.00723015283670908,0.0382165221368908
"ER3413_3967_ECOLI",-0.389066152793987,17.7183006738523,0.0087001665116529,0.0402382701163946
"BSU06030_BSUBT",0.330131178459165,10.2270883204812,0.0254969233615035,0.104820684930625
"ER3413_3365_ECOLI",-0.237308211618309,16.0114367827441,0.112620723557872,0.327497031123325
"ER3413_4091_ECOLI",-0.233486132415814,16.0561501165786,0.118926099921785,0.327497031123325
"ER3413_3962_ECOLI",-0.2318733467356,16.0747344706625,0.121680628284425,0.327497031123325
"ER3413_204_ECOLI",-0.231905263519368,16.0626967859076,0.122017057802979,0.327497031123325
"ER3413_4134_ECOLI",-0.230310928292317,16.04333484433,0.123917795560177,0.327497031123325
"ER3413_3869_ECOLI",-0.223380554613637,16.1302610998596,0.136487568594276,0.336669335865881
"ER3413_2674_ECOLI",-0.198648704644803,15.8640281309408,0.183145104611003,0.423523054412945
"BSU01120_BSUBT",0.154483125547397,10.5620668372374,0.218293589914527,0.475109578049265
"BSU_rRNA_29_BSUBT",-0.0769902912208723,14.9674187453669,0.587096104913619,0.95412875800927
"BSU_rRNA_5_BSUBT",-0.0559714118144236,15.186559587198,0.69276617567646,0.95412875800927
"BSU_rRNA_10_BSUBT",-0.044079228539705,15.2197487410839,0.756692697102966,0.95412875800927
"BSU_rRNA_27_BSUBT",-0.0440555646396278,15.1408938628836,0.757698456177598,0.95412875800927
"BSU_rRNA_2_BSUBT",-0.0433027728296738,15.2218608063602,0.760827076904404,0.95412875800927
"BSU_rRNA_12_BSUBT",-0.0433294318976088,15.2154679171573,0.760947913158884,0.95412875800927
"BSU_rRNA_7_BSUBT",-0.0433086791075312,15.2156109033012,0.761057434327379,0.95412875800927
"BSU_rRNA_17_BSUBT",-0.0409184636526726,15.1910883763773,0.774553426000619,0.95412875800927
"BSU_rRNA_14_BSUBT",-0.0407696888621635,15.0515742301443,0.777605894711478,0.95412875800927
"BSU_rRNA_20_BSUBT",-0.0402704707252852,15.1955114862519,0.777788464786821,0.95412875800927
"BSU_rRNA_23_BSUBT",-0.0417781596407768,13.8182851572406,0.800506614028698,0.95412875800927
"BSU_rRNA_22_BSUBT",0.0255048429868546,14.0253380924316,0.830463991260508,0.95412875800927
"BSU_rRNA_9_BSUBT",0.0251201344069664,14.0343037953474,0.832648907424065,0.95412875800927
"BSU_rRNA_25_BSUBT",0.0193155578829861,13.8131957769001,0.857907103581653,0.95412875800927
"BSU_rRNA_30_BSUBT",0.0157908477834781,14.0022843393273,0.883418252725425,0.95412875800927
"BSU_rRNA_4_BSUBT",0.0137482343137947,14.0140867563155,0.894710731344294,0.95412875800927
"BSU_rRNA_6_BSUBT",0.0112605135681453,13.986599268621,0.911741429091093,0.95412875800927
"BSU_rRNA_1_BSUBT",0.00591893525414211,13.9869353011371,0.940396305521901,0.95412875800927
"BSU_rRNA_16_BSUBT",-0.0150162126233525,13.8269279793226,0.947269241204915,0.95412875800927
"BSU_rRNA_19_BSUBT",0.00201647283245652,13.7013692760238,0.95412875800927,0.95412875800927
